Age,Sex,2019_Q3,2020_Q3,2021_Q3,2022_Q3,2019_Sep,2020_Sep,2021_Sep,2022_Sep
16 to 17 years,Total,1779,1786,2003,2139,1797,1787,2013,2087
18 to 19 years,Total,3413,2874,3309,3431,3321,3202,3256,3464
20 to 24 years,Total,14196,12160,13359,13776,14297,12635,13498,13755
25 to 34 years,Total,35778,32749,34665,35461,35910,33253,34664,35392
35 to 44 years,Total,33190,31675,32917,34643,33377,31656,32915,34618
45 to 54 years,Total,31887,29776,30673,31822,31864,29697,30767,32027
55 years and over,Total,37508,35077,36326,37350,37592,35253,36611,37561
16 to 17 years,Men,881,817,956,993,895,839,974,954
18 to 19 years,Men,1699,1436,1665,1751,1679,1577,1584,1749
20 to 24 years,Men,7182,6272,6783,6987,7218,6521,6868,7038
25 to 34 years,Men,19155,17464,18508,18791,19182,17808,18516,18866
35 to 44 years,Men,17827,17076,17733,18620,17926,17151,17793,18579
45 to 54 years,Men,16779,15848,16082,16844,16735,15762,16090,16936
55 years and over,Men,20060,18755,19416,20127,20028,18966,19647,20381
16 to 17 years,Women,897,969,1048,1147,901,948,1040,1133
18 to 19 years,Women,1714,1437,1644,1680,1641,1626,1672,1715
20 to 24 years,Women,7014,5889,6576,6789,7079,6114,6630,6717
25 to 34 years,Women,16623,15284,16157,16670,16728,15444,16149,16526
35 to 44 years,Women,15363,14599,15184,16023,15451,14505,15122,16039
45 to 54 years,Women,15109,13928,14592,14978,15129,13936,14677,15091
55 years and over,Women,17448,16321,16910,17222,17563,16286,16964,17180