Age,Sex,2021_Sep,2021_Oct,2021_Nov,2021_Dec,2022_Jan,2022_Feb,2022_Mar,2022_Apr,2022_May,2022_Jun,2022_Jul,2022_Aug,2022_Sep
16 to 17 years,Total,11.4,11.1,10.4,10.8,11.3,10.2,8.6,8.8,10.2,11.2,10.3,9.7,12.4
18 to 19 years,Total,11.6,12.6,11.6,11.5,10.6,10.1,10.9,11.8,10.4,10.2,12.1,10.9,10.9
20 to 24 years,Total,8.0,7.5,7.4,7.1,7.3,7.5,7.5,6.9,6.7,6.8,6.4,6.9,7.0
25 to 34 years,Total,5.3,4.8,4.3,4.3,4.3,4.1,3.9,4.0,3.9,3.4,3.5,3.7,3.6
35 to 44 years,Total,4.0,3.9,3.8,3.3,3.5,3.3,2.8,2.9,2.9,3.2,2.7,2.9,3.0
45 to 54 years,Total,3.9,3.8,3.1,2.8,2.6,2.5,2.2,2.2,2.3,2.4,2.4,2.7,2.1
55 years and over,Total,3.6,3.6,3.2,3.0,3.1,3.0,2.6,2.7,2.7,2.7,2.5,2.7,2.4
16 to 17 years,Men,12.3,10.7,11.1,10.7,13.5,9.0,8.7,9.8,8.8,11.2,8.7,11.5,13.2
18 to 19 years,Men,13.3,13.2,10.5,12.6,10.2,12.4,10.7,12.1,11.4,9.8,12.8,11.2,10.3
20 to 24 years,Men,9.3,8.3,8.0,7.7,8.6,7.8,8.5,8.1,7.0,7.6,7.3,8.1,7.9
25 to 34 years,Men,5.7,5.0,4.4,4.5,4.4,3.9,4.0,4.2,3.9,3.5,3.3,3.7,3.6
35 to 44 years,Men,4.1,3.7,3.9,3.3,3.5,3.3,2.8,2.8,2.8,2.9,2.9,3.0,2.9
45 to 54 years,Men,3.7,3.3,2.9,2.5,2.4,2.3,1.9,2.0,2.2,2.3,2.5,2.7,2.3
55 years and over,Men,3.6,3.5,3.0,2.7,3.2,3.2,2.6,2.8,2.6,2.8,2.5,2.7,2.3
16 to 17 years,Women,10.5,11.5,9.7,10.8,9.3,11.2,8.5,7.8,11.4,11.1,11.6,8.2,11.6
18 to 19 years,Women,10.0,11.9,12.7,10.2,11.0,7.6,11.2,11.5,9.4,10.6,11.3,10.5,11.6
20 to 24 years,Women,6.5,6.5,6.7,6.5,5.9,7.2,6.4,5.7,6.4,6.0,5.4,5.7,5.9
25 to 34 years,Women,4.9,4.5,4.1,4.1,4.2,4.4,3.9,3.6,3.9,3.4,3.6,3.8,3.5
35 to 44 years,Women,3.9,4.0,3.8,3.2,3.5,3.3,2.7,3.0,3.0,3.6,2.6,2.8,3.1
45 to 54 years,Women,4.1,4.3,3.2,3.1,2.8,2.7,2.6,2.4,2.5,2.6,2.4,2.7,1.8
55 years and over,Women,3.4,3.7,3.5,3.2,3.1,2.9,2.6,2.7,2.7,2.7,2.3,2.6,2.4